reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
27,50,21,0,0,0,2,0.13050579999980982,,0.027264500000455882,0.13050579999980982,1.013724500000535,1.013724500000535,1.1304909999998927,1.5785585000003266,l,0.5125560999995287,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
11,30,7,0,1,1,0,1.597668899999917,,1.581461599999784,1.597668899999917,2.5807677000002514,2.5807677000002514,2.5973326000003,2.9822716999997283,t,0.3967699000004359,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
49,60,89,0,2,2,4,3.0022932000001674,,2.983379199999945,3.0022932000001674,3.985787900000105,3.985787900000105,4.002559499999734,4.904276199999913,l,0.9018240999994305,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
78,80,162,0,3,3,6,4.918697000000066,,4.9053804000004675,4.918697000000066,5.918948600000476,5.918948600000476,5.918948600000476,6.737411799999791,t,0.8013155999997252,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
40,55,62,0,4,4,3,6.752101900000525,,6.738654499999939,6.752101900000525,7.752329300000383,7.752329300000383,7.752329300000383,10.738451799999893,l,2.9805734999999913,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
67,75,119,0,5,5,5,10.752587900000435,,10.739657699999952,10.752587900000435,11.75226290000046,11.75226290000046,11.75226290000046,12.80427520000012,t,1.0427542000006724,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
15,35,13,0,6,6,1,12.818994700000076,,12.805402500000127,12.818994700000076,13.819027700000333,13.819027700000333,13.819027700000333,15.18769489999977,l,1.355664099999558,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
11,30,7,1,0,7,0,15.202187099999719,,15.188786200000322,15.202187099999719,16.202024700000038,16.202024700000038,16.202024700000038,17.087539099999958,l,0.8736076000004687,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
67,75,119,1,1,8,5,17.102156699999796,,17.088615200000277,17.102156699999796,18.10216279999986,18.10216279999986,18.10216279999986,19.004462900000362,t,0.8933744999994815,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
15,35,13,1,2,9,1,19.019248499999776,,19.005591000000095,19.019248499999776,20.0189091000002,20.0189091000002,20.0189091000002,21.887372300000607,l,1.8631986000000325,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
49,60,89,1,3,10,4,21.90207680000003,,21.888483499999893,21.90207680000003,22.902495600000293,22.902495600000293,22.902495600000293,24.054901000000427,t,1.150236099999347,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
78,80,162,1,4,11,6,24.068723999999747,,24.05599919999986,24.068723999999747,25.06914719999986,25.06914719999986,25.06914719999986,26.404180700000325,t,1.326978699999927,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
27,50,21,1,5,12,2,26.418630900000608,,26.405274499999905,26.418630900000608,27.41886930000055,27.41886930000055,27.41886930000055,29.437524900000426,t,2.015685699999267,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
40,55,62,1,6,13,3,29.452041499999723,,29.43886939999993,29.452041499999723,30.452166199999738,30.452166199999738,30.452166199999738,31.7871925999998,l,1.3263449000005494,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
15,35,13,2,0,14,1,31.802201200000127,,31.788261499999862,31.802201200000127,32.80210679999982,32.80210679999982,32.80210679999982,33.954558700000234,t,1.1478819000003568,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
11,30,7,2,1,15,0,33.96890660000008,,33.95562620000055,33.96890660000008,34.96875120000004,34.96875120000004,34.96875120000004,36.020484800000304,l,1.0413023000000976,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
67,75,119,2,2,16,5,36.035463100000015,,36.02154350000001,36.035463100000015,37.03570310000032,37.03570310000032,37.03570310000032,40.9875849,t,3.9413183999995454,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
27,50,21,2,3,17,2,41.002805300000546,,40.988659700000426,41.002805300000546,42.00248920000013,42.00248920000013,42.00248920000013,43.388147700000445,l,1.381194200000209,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
78,80,162,2,4,18,6,43.40203139999994,,43.38920020000023,43.40203139999994,44.40217970000049,44.40217970000049,44.40217970000049,45.603739199999836,t,1.189487999999983,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
49,60,89,2,5,19,4,45.61878070000057,,45.604800900000555,45.61878070000057,46.61888960000033,46.61888960000033,46.61888960000033,47.9207277000005,t,1.294843700000456,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
40,55,62,2,6,20,3,47.9352415000003,,47.92190339999979,47.9352415000003,48.93558310000026,48.93558310000026,48.93558310000026,50.32039470000018,t,1.3700568999993266,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
40,55,62,3,0,21,3,50.33553800000027,,50.321466399999736,50.33553800000027,51.33552560000044,51.33552560000044,51.33552560000044,52.55405239999982,l,1.21592260000034,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
49,60,89,3,1,22,4,52.56863270000031,,52.555161000000226,52.56863270000031,53.568799700000454,53.568799700000454,53.568799700000454,55.05370110000058,t,1.467595999999503,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
15,35,13,3,2,23,1,55.0686781000004,,55.0547532999999,55.0686781000004,56.06870919999983,56.06870919999983,56.06870919999983,56.970410200000515,l,0.8885535999997956,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
78,80,162,3,3,24,6,56.98540990000038,,56.97152619999997,56.98540990000038,57.985387300000184,57.985387300000184,57.985387300000184,58.37078250000013,t,0.3816338000005999,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
27,50,21,3,4,25,2,58.385273800000505,,58.37185049999971,58.385273800000505,59.38554010000007,59.38554010000007,59.38554010000007,59.937360900000385,t,0.5352124999999432,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
11,30,7,3,5,26,0,59.95203320000019,,59.93843670000024,59.95203320000019,60.952082700000574,60.952082700000574,60.952082700000574,63.754943699999785,t,2.7850859999998647,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
67,75,119,3,6,27,5,63.7686690999999,,63.75605869999981,63.7686690999999,64.76870640000016,64.76870640000016,64.76870640000016,68.75374069999998,l,3.969131699999707,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
11,30,7,4,0,28,0,68.76856490000046,,68.75480470000002,68.76856490000046,69.76875930000006,69.76875930000006,69.76875930000006,70.30349530000058,t,0.5203955999995742,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
27,50,21,4,1,29,2,70.31859059999988,,70.30455170000005,70.31859059999988,71.31877420000001,71.31877420000001,71.31877420000001,71.7037319000001,l,0.37783629999921686,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
40,55,62,4,2,30,3,71.71862729999975,,71.70491159999983,71.71862729999975,72.71878740000011,72.71878740000011,72.71878740000011,75.2732130000004,t,2.5528494999998657,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
78,80,162,4,3,31,6,75.30498280000029,,75.27386540000043,75.30498280000029,76.2881083000002,76.2881083000002,76.30470729999979,77.74050590000024,t,1.4502701999999772,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
15,35,13,4,4,32,1,77.75491280000006,,77.74159370000052,77.75491280000006,78.7547870999997,78.7547870999997,78.7547870999997,79.89110900000014,l,1.132806999999957,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
67,75,119,4,5,33,5,79.91868169999998,,79.89258010000049,79.91868169999998,80.90207030000056,80.90207030000056,80.91895279999972,83.27034550000008,t,2.3523968999998033,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
49,60,89,4,6,34,4,83.28534110000055,,83.27146989999983,83.28534110000055,84.28553079999983,84.28553079999983,84.28553079999983,86.67021310000018,l,2.369855799999641,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
78,80,162,5,0,35,6,86.68528190000052,,86.67126950000056,86.68528190000052,87.68533860000025,87.68533860000025,87.68533860000025,88.88745449999988,t,1.1866874000006646,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
11,30,7,5,1,36,0,88.90194960000008,,88.8885465000003,88.90194960000008,89.9023202999997,89.9023202999997,89.9023202999997,90.50405099999989,l,0.5872269999999844,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
