trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.028770899982191622,,0.013927199994213879,0.028770899982191622,1.028537599981064,1.0451228999882005,1.8195598000020254,up,1,0.7769359000085387,None,0,850843,001,2024-09-13_11h39.47.797,signal detection,2024.1.5,None,2024-09-13 11h39.53.348805 +0530,
1,0,1,0,1.8283885999990162,,1.8213839999807533,1.8283885999990162,2.8285030999977607,2.8285030999977607,3.6287953999999445,down,1,0.7834249000006821,None,-3,850843,001,2024-09-13_11h39.47.797,signal detection,2024.1.5,None,2024-09-13 11h39.53.348805 +0530,
2,0,2,0,3.6452661999792326,,3.6294066999980714,3.6452661999792326,4.62867069998174,4.645189599978039,5.662525099993218,down,1,1.029759799974272,None,3,850843,001,2024-09-13_11h39.47.797,signal detection,2024.1.5,None,2024-09-13 11h39.53.348805 +0530,
3,0,3,0,5.678477899986319,,5.6631162999838125,5.678477899986319,6.678485799988266,6.678485799988266,7.312581899983343,down,1,0.6280399000097532,None,4,850843,001,2024-09-13_11h39.47.797,signal detection,2024.1.5,None,2024-09-13 11h39.53.348805 +0530,
4,0,4,0,7.328668999980437,,7.313134199997876,7.328668999980437,8.328338099992834,8.328338099992834,8.762196299998323,down,1,0.4287062000075821,None,3,850843,001,2024-09-13_11h39.47.797,signal detection,2024.1.5,None,2024-09-13 11h39.53.348805 +0530,
5,0,5,0,8.77816809999058,,8.762727399996947,8.77816809999058,9.761782199988374,9.778291900001932,10.712657600000966,up,0,0.9480281000141986,None,-2,850843,001,2024-09-13_11h39.47.797,signal detection,2024.1.5,None,2024-09-13 11h39.53.348805 +0530,
6,0,6,0,10.728143999993335,,10.713217899989104,10.728143999993335,11.728301099996315,11.728301099996315,12.562465299997712,up,0,0.8211279999813996,None,4,850843,001,2024-09-13_11h39.47.797,signal detection,2024.1.5,None,2024-09-13 11h39.53.348805 +0530,
7,0,7,0,12.578619799984153,,12.562983299983898,12.578619799984153,13.561821799987229,13.578315599996131,14.179472499992698,down,0,0.6129898000217509,None,0,850843,001,2024-09-13_11h39.47.797,signal detection,2024.1.5,None,2024-09-13 11h39.53.348805 +0530,
8,0,8,0,14.194896100001642,,14.180011299991747,14.194896100001642,15.194935099978466,15.194935099978466,16.39599239997915,down,1,1.197416399983922,None,-5,850843,001,2024-09-13_11h39.47.797,signal detection,2024.1.5,None,2024-09-13 11h39.53.348805 +0530,
9,0,9,0,16.411475599976256,,16.396539799985476,16.411475599976256,17.411808499979088,17.411808499979088,18.21263579998049,up,0,0.7987882000161335,None,1,850843,001,2024-09-13_11h39.47.797,signal detection,2024.1.5,None,2024-09-13 11h39.53.348805 +0530,
