trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.030785700015258044,,0.017129600018961355,0.030785700015258044,1.0307931000133976,1.0475393000233453,1.7562671000196133,up,1,0.7154325000010431,None,0,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
1,0,1,0,1.7644471000239719,,1.7590774000273086,1.7644471000239719,2.764296400011517,2.764296400011517,3.265158900001552,up,1,0.4980986999871675,None,0,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
2,0,2,0,3.280486400006339,,3.2664810999995098,3.280486400006339,4.280882300023222,4.280882300023222,4.681323500000872,up,1,0.39158300001872703,None,0,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
3,0,3,0,4.697576400008984,,4.682664300024044,4.697576400008984,5.697620899998583,5.697620899998583,6.148049900017213,up,1,0.4416668999765534,None,0,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
4,0,4,0,6.164530900015961,,6.149425000010524,6.164530900015961,7.1640981000091415,7.1640981000091415,7.615001800004393,up,1,0.44295080000301823,None,0,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
5,0,5,0,7.630659600021318,,7.616307400021469,7.630659600021318,8.630780900013633,8.630780900013633,9.064789900003234,up,1,0.4201497999893036,None,0,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
6,0,6,0,9.080876100022579,,9.06614510001964,9.080876100022579,10.080787900020368,10.080787900020368,10.48158410002361,up,1,0.3974019000015687,None,0,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
7,0,7,0,10.497099900007015,,10.48293380002724,10.497099900007015,11.49754190002568,11.49754190002568,12.01486890000524,up,1,0.5102458000183105,None,0,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
8,0,8,0,12.030633600021247,,12.016159999999218,12.030633600021247,13.030779000022449,13.030779000022449,13.281641600013245,down,0,0.2470069999981206,None,0,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
9,0,9,0,13.297094000008656,,13.28298730001552,13.297094000008656,14.297426300006919,14.297426300006919,15.664682500006165,down,1,1.361747999995714,None,4,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
10,0,10,0,15.680756300018402,,15.66596969999955,15.680756300018402,16.68072440000833,16.68072440000833,17.164486699999543,down,1,0.47190620002220385,None,-3,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
11,0,11,0,17.180589800002053,,17.16579910001019,17.180589800002053,18.180571300006704,18.180571300006704,19.34796300000744,up,1,1.1539008999825455,None,0,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
12,0,12,0,19.364147800020874,,19.349232900014613,19.364147800020874,20.36410080001224,20.36410080001224,21.29800310000428,up,1,0.918677600013325,None,0,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
