seq,target,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text.started,instructions.stopped,trial.started,t,sq1.started,sq2.started,sq3.started,sq4.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.010416399920359254,0.02813229989260435,5.01103419996798,,,,,,,,,,,,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,1,0,0,0,0,5.058307399973273,,,,,5.0463992999866605,1,5.208859199890867,5.208859199890867,5.208859199890867,5.208859199890867,5.208859199890867,7.720914700068533,1,2.4937277999706566,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,3,0,1,1,1,7.741620599990711,,,,,7.7232935000211,3,7.924662899924442,7.924662899924442,7.924662899924442,7.924662899924442,7.924662899924442,17.01007950003259,3,9.077249799855053,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,2,0,2,2,2,17.02488399995491,,,,,17.01133059989661,2,17.22475240007043,17.22475240007043,17.22475240007043,17.22475240007043,17.22475240007043,18.709925399860367,2,1.4746595001779497,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,4,0,3,3,3,18.724713099887595,,,,,18.710671300068498,4,18.924860500032082,18.924860500032082,18.924860500032082,18.924860500032082,18.924860500032082,20.142566499998793,4,1.2093521999195218,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
random,0,0,4,4,4,20.158067099982873,,,,,20.14338600006886,4,20.357976600062102,20.357976600062102,20.357976600062102,20.357976600062102,20.357976600062102,21.8425948000513,4,1.4778303999919444,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,1,1,0,5,0,21.858388500055298,,,,,21.84332529990934,1,22.057953000068665,22.057953000068665,22.057953000068665,22.057953000068665,22.057953000068665,23.096415600040928,1,1.0189961001742631,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,3,1,1,6,1,23.108155600028113,,,,,23.097717399941757,3,23.30810959986411,23.30810959986411,23.30810959986411,23.30810959986411,23.30810959986411,24.410067100077868,3,1.0848281998187304,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,2,1,2,7,2,24.424634400056675,,,,,24.411309599876404,2,24.624651700025424,24.624651700025424,24.624651700025424,24.624651700025424,24.624651700025424,25.277293799910694,2,0.6489881000015885,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,4,1,3,8,3,25.291783099994063,,,,,25.27846119995229,4,25.491574799874797,25.491574799874797,25.491574799874797,25.491574799874797,25.491574799874797,26.376514500007033,4,0.8706416001077741,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
