seq,t,key_resp.keys,key_resp.rt,correct,,
,,,,,,
patterned,1,1,2.36769549991004,1,,
patterned,3,3,1.55626450013369,1,,
patterned,2,2,0.752318699844182,1,random,0.643841165001504
patterned,4,4,0.635733000002801,1,patterned,0.661348536258447
random,1,1,0.591699900105596,1,,
patterned,1,1,0.72462429990992,1,,
patterned,3,3,0.976097599836066,1,,
patterned,2,2,0.759843700099736,1,,
patterned,4,4,0.700667800148949,1,,
random,4,4,0.929935500025749,1,,
patterned,1,1,0.625621299957857,1,,
patterned,3,3,0.906803400022909,1,,
patterned,2,2,0.683237799908966,1,,
patterned,4,4,0.518476600060239,1,,
random,1,1,0.553784799994901,1,,
patterned,1,1,0.708366299979389,1,,
patterned,3,3,0.749152600066736,1,,
patterned,2,2,0.616554400185123,1,,
patterned,4,4,0.629079699981958,1,,
random,1,1,0.707069399999455,1,,
patterned,1,1,0.672699799994007,1,,
patterned,3,3,0.584085199981928,1,,
patterned,2,2,0.664423499954864,1,,
patterned,4,4,0.61128759989515,1,,
random,4,4,0.860576200066134,1,,
patterned,1,1,0.616225700126961,1,,
patterned,3,3,0.748728400096297,1,,
patterned,2,2,0.680795899825171,1,,
patterned,4,4,0.531625099945813,1,,
random,4,4,0.746706699952483,1,,
patterned,1,1,0.64266060013324,1,,
patterned,3,3,0.743091800017282,1,,
patterned,2,2,0.710771800018847,1,,
patterned,4,4,0.612567499978468,1,,
random,1,1,0.528021499980241,1,,
patterned,1,1,0.652260500006378,1,,
patterned,3,3,1.1597644998692,1,,
patterned,2,2,0.663365900050849,1,,
patterned,4,4,0.657648500055075,1,,
random,4,4,0.732720500091091,1,,
patterned,1,1,0.659706200007349,1,,
patterned,3,3,0.6214103999082,1,,
patterned,2,2,0.646178199909627,1,,
patterned,4,4,0.499060100177303,1,,
random,4,4,0.634199500083923,1,,
patterned,1,1,0.528004400199279,1,,
patterned,3,3,0.717902099946514,1,,
patterned,2,2,0.576646500034258,1,,
patterned,4,4,0.515086600091308,1,,
random,1,1,0.536023099906743,1,,
patterned,1,2,0.446475700009614,0,,
patterned,3,3,1.24054550006986,1,,
patterned,2,2,0.760219700168818,1,,
patterned,4,4,0.502278399886563,1,,
random,3,3,0.699509899830446,1,,
patterned,1,1,0.537265099817887,1,,
patterned,3,3,0.558138699969277,1,,
patterned,2,2,0.670834500109777,1,,
patterned,4,4,0.49921780009754,1,,
random,2,2,0.794052200159058,1,,
patterned,1,1,0.59692919999361,1,,
patterned,3,3,0.690942500019446,1,,
patterned,2,2,0.572348300134763,1,,
patterned,4,4,0.499331700149924,1,,
random,1,1,0.410580500029027,1,,
patterned,1,1,0.608852499863133,1,,
patterned,3,3,0.509216400096193,1,,
patterned,2,2,0.641632500104606,1,,
patterned,4,4,0.48740560002625,1,,
random,2,2,0.643125799950212,1,,
patterned,1,1,0.606300399871543,1,,
patterned,3,3,0.747645900119096,1,,
patterned,2,2,0.65497240005061,1,,
patterned,4,4,0.60379229998216,1,,
random,3,3,0.764401900116354,1,,
patterned,1,1,0.419365999987349,1,,
patterned,3,3,0.585857700090855,1,,
patterned,2,2,0.474702300038189,1,,
patterned,4,4,0.39322099997662,1,,
random,4,4,0.561105799861252,1,,
patterned,1,1,0.794573899824172,1,,
patterned,3,3,0.622599700000137,1,,
patterned,2,2,0.464872299926356,1,,
patterned,4,4,0.583810900105163,1,,
random,3,2,0.621217099949718,0,,
patterned,1,1,0.68181400001049,1,,
patterned,3,3,0.792324800044298,1,,
patterned,2,2,0.530114500084892,1,,
patterned,4,4,0.353585900040343,1,,
random,1,1,0.484209000132978,1,,
patterned,1,1,0.396671199938282,1,,
patterned,3,3,0.466311400057748,1,,
patterned,2,2,0.395633399952203,1,,
patterned,4,4,0.954182799905539,1,,
random,2,2,0.626512099988759,1,,
patterned,1,1,0.475490800105035,1,,
patterned,3,3,0.628275400027633,1,,
patterned,2,2,0.415435599861667,1,,
patterned,4,4,0.418160199886188,1,,
random,2,2,0.451371899805963,1,,
20,,,,490,,
80,,,,Err:511,,
,,,,66.1348536258447,,
