seq,t,key_resp.keys,key_resp.rt,correct,,,
,,,,,,,
patterned,1,1,0.493211100110784,1,,,
patterned,3,3,0.389366199960932,1,,,
patterned,2,2,0.372621199814603,1,,,
patterned,4,4,0.385271100094542,1,,,
random,2,2,0.421858200104907,1,,,
patterned,1,1,0.447334999917075,1,,random,0.493948645005003
patterned,3,3,0.431916699977592,1,,patterned,0.459893056243891
patterned,2,2,0.479018700076267,1,,,
patterned,4,4,0.374172500101849,1,,,
random,1,1,0.453767699887976,1,,,
patterned,1,1,0.422790399985388,1,,,
patterned,3,3,0.433526699896902,1,,,
patterned,2,2,0.438343700021505,1,,,
patterned,4,4,0.369463999988511,1,,,
random,4,4,0.5295076998882,1,,,
patterned,1,2,0.745163899846375,1,,,
patterned,3,3,0.605652500176802,0,,,
patterned,2,2,0.501675499835983,1,,,
patterned,4,4,0.413044800050557,1,,,
random,3,3,0.548647499876097,1,,,
patterned,1,1,0.455908300122246,1,,,
patterned,3,3,0.476635999977589,1,,,
patterned,2,2,0.451066500041634,1,,,
patterned,4,4,0.432931199902669,1,,,
random,2,2,0.548006600001827,1,,,
patterned,1,1,0.47558129997924,1,,,
patterned,3,3,0.464036700082943,1,,,
patterned,2,2,0.7166079999879,1,,,
patterned,4,4,0.402804099954665,1,,,
random,4,4,0.459528800100088,1,,,
patterned,1,1,0.496287199901417,1,,,
patterned,3,3,0.457736300071701,1,,,
patterned,2,2,0.517734900116921,1,,,
patterned,4,4,0.387948300223798,1,,,
random,1,1,0.489048799965531,1,,,
patterned,1,1,0.476140199927613,1,,,
patterned,3,3,0.51093570003286,1,,,
patterned,2,2,0.417843099916354,1,,,
patterned,4,4,0.390185399912298,1,,,
random,4,4,0.556249599903822,1,,,
patterned,1,1,0.474273700034246,1,,,
patterned,3,3,0.53548080008477,1,,,
patterned,2,2,0.477419900009409,1,,,
patterned,4,4,0.525893999962136,1,,,
random,4,4,0.484737899852917,1,,,
patterned,1,1,0.554115900071338,1,,,
patterned,3,3,0.434116600081325,1,,,
patterned,2,2,0.54033249989152,1,,,
patterned,4,4,0.427612100029364,1,,,
random,1,1,0.453421599930152,1,,,
patterned,1,1,0.512204100145027,1,,,
patterned,3,3,0.456391100073233,1,,,
patterned,2,2,0.543127000099048,1,,,
patterned,4,4,0.394312699791044,1,,,
random,2,2,0.422701500123367,1,,,
patterned,1,1,0.451333899982274,1,,,
patterned,3,3,0.486318399896845,1,,,
patterned,2,2,0.373917799908668,1,,,
patterned,4,4,0.380707599921152,1,,,
random,3,3,0.486892000073567,1,,,
patterned,1,1,0.468626900110394,1,,,
patterned,3,3,0.429351799888536,1,,,
patterned,2,2,0.513991399900988,1,,,
patterned,4,4,0.3647507999558,1,,,
random,4,4,0.477200400084257,1,,,
patterned,1,1,0.465784899890423,1,,,
patterned,3,3,0.46135799982585,1,,,
patterned,2,2,0.546100700041279,1,,,
patterned,4,4,0.496467599878088,1,,,
random,1,1,0.521702399943024,1,,,
patterned,1,1,0.537398500135168,1,,,
patterned,3,3,0.46948520001024,1,,,
patterned,2,2,0.433394700055942,1,,,
patterned,4,4,0.413847299991176,1,,,
random,3,3,0.468580400105566,1,,,
patterned,1,1,0.445664100116119,1,,,
patterned,3,3,0.382527399808168,1,,,
patterned,2,2,0.41422519995831,1,,,
patterned,4,4,0.348011099966243,1,,,
random,4,4,0.420571799855679,1,,,
patterned,1,1,0.531738199992105,1,,,
patterned,3,3,0.392964399885386,1,,,
patterned,2,2,0.358567900024354,1,,,
patterned,4,4,0.353458800120279,1,,,
random,2,2,0.450904300203547,1,,,
patterned,1,1,0.455734099959955,1,,,
patterned,3,3,0.42045950004831,1,,,
patterned,2,2,0.403530800016597,1,,,
patterned,4,4,0.470952299889177,1,,,
random,1,1,0.571609700098634,1,,,
patterned,1,1,0.502457099966705,1,,,
patterned,3,3,0.519517099950463,1,,,
patterned,2,2,0.541539200115949,1,,,
patterned,4,4,0.456009299959987,1,,,
random,1,1,0.484637600136921,1,,,
patterned,1,1,0.473742200061679,1,,,
patterned,3,3,0.452639899915084,1,,,
patterned,2,2,0.426109499996528,1,,,
patterned,4,4,0.440523300087079,1,,,
random,4,4,0.629398399963975,1,,,
,,,,99,,,
