seq,target,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,sq1.started,sq2.started,sq3.started,sq4.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
patterned,1,0,0,0,1,0,0,0,0,0.053478100104257464,,0.028915700037032366,0.053478100104257464,0.053478100104257464,0.053478100104257464,0.053478100104257464,0.053478100104257464,1.1644973000511527,1,1.084463900187984,None,1,001,2024-12-03_21h44.42.558,solo_project,2024.1.5,None,2024-12-03 21h44.50.761888 +0530,
patterned,3,0,0,0,1,0,1,1,1,1.186389199923724,,1.1671023000963032,1.186389199923724,1.186389199923724,1.186389199923724,1.186389199923724,1.186389199923724,1.6874903000425547,4,0.4880429001059383,None,1,001,2024-12-03_21h44.42.558,solo_project,2024.1.5,None,2024-12-03 21h44.50.761888 +0530,
patterned,2,0,0,0,1,0,2,2,2,1.7028493999969214,,1.68792390008457,1.7028493999969214,1.7028493999969214,1.7028493999969214,1.7028493999969214,1.7028493999969214,2.237555299885571,2,0.5189704999793321,None,1,001,2024-12-03_21h44.42.558,solo_project,2024.1.5,None,2024-12-03 21h44.50.761888 +0530,
patterned,4,0,0,0,1,0,3,3,3,2.2529424000531435,,2.238056099973619,2.2529424000531435,2.2529424000531435,2.2529424000531435,2.2529424000531435,2.2529424000531435,2.521120799938217,3,0.2629196001216769,None,1,001,2024-12-03_21h44.42.558,solo_project,2024.1.5,None,2024-12-03 21h44.50.761888 +0530,
random,1,0,0,0,1,,,,,,,,,,,,,,,,,1,001,2024-12-03_21h44.42.558,solo_project,2024.1.5,None,2024-12-03 21h44.50.761888 +0530,
patterned,1,0,1,1,2,0,0,0,0,2.536343399900943,,2.525360699975863,2.536343399900943,2.536343399900943,2.536343399900943,2.536343399900943,2.536343399900943,2.9372139000333846,1,0.3869572998955846,None,1,001,2024-12-03_21h44.42.558,solo_project,2024.1.5,None,2024-12-03 21h44.50.761888 +0530,
patterned,3,0,1,1,2,0,1,1,1,2.95305659994483,,2.937777000013739,2.95305659994483,2.95305659994483,2.95305659994483,2.95305659994483,2.95305659994483,3.3879714999347925,4,0.4257839999627322,None,1,001,2024-12-03_21h44.42.558,solo_project,2024.1.5,None,2024-12-03 21h44.50.761888 +0530,
patterned,2,0,1,1,2,0,2,2,2,3.402879900066182,,3.3883750000968575,3.402879900066182,3.402879900066182,3.402879900066182,3.402879900066182,3.402879900066182,3.820277800085023,2,0.4055685999337584,None,1,001,2024-12-03_21h44.42.558,solo_project,2024.1.5,None,2024-12-03 21h44.50.761888 +0530,
patterned,4,0,1,1,2,0,3,3,3,3.836220399942249,,3.820631799986586,3.836220399942249,3.836220399942249,3.836220399942249,3.836220399942249,3.836220399942249,4.204072399996221,3,0.3517305999994278,None,1,001,2024-12-03_21h44.42.558,solo_project,2024.1.5,None,2024-12-03 21h44.50.761888 +0530,
random,4,0,1,1,2,,,,,,,,,,,,,,,,,1,001,2024-12-03_21h44.42.558,solo_project,2024.1.5,None,2024-12-03 21h44.50.761888 +0530,
patterned,1,0,2,2,0,0,0,0,0,4.219965999945998,,4.207258600043133,4.219965999945998,4.219965999945998,4.219965999945998,4.219965999945998,4.219965999945998,4.620418099919334,1,0.38944369996897876,None,1,001,2024-12-03_21h44.42.558,solo_project,2024.1.5,None,2024-12-03 21h44.50.761888 +0530,
patterned,3,0,2,2,0,0,1,1,1,4.636122100055218,,4.6209581000730395,4.636122100055218,4.636122100055218,4.636122100055218,4.636122100055218,4.636122100055218,5.220297700027004,4,0.5692634000442922,None,1,001,2024-12-03_21h44.42.558,solo_project,2024.1.5,None,2024-12-03 21h44.50.761888 +0530,
patterned,2,0,2,2,0,0,2,2,2,5.236205599969253,,5.220668799942359,5.236205599969253,5.236205599969253,5.236205599969253,5.236205599969253,5.236205599969253,5.686965100001544,2,0.44729209993965924,None,1,001,2024-12-03_21h44.42.558,solo_project,2024.1.5,None,2024-12-03 21h44.50.761888 +0530,
patterned,4,0,2,2,0,0,3,3,3,5.703030399978161,,5.687312500085682,5.703030399978161,5.703030399978161,5.703030399978161,5.703030399978161,5.703030399978161,5.8874256000854075,3,0.17481080000288785,None,1,001,2024-12-03_21h44.42.558,solo_project,2024.1.5,None,2024-12-03 21h44.50.761888 +0530,
random,3,0,2,2,0,,,,,,,,,,,,,,,,,1,001,2024-12-03_21h44.42.558,solo_project,2024.1.5,None,2024-12-03 21h44.50.761888 +0530,
patterned,1,0,3,3,3,0,0,0,0,5.902866400079802,,5.890222999965772,5.902866400079802,5.902866400079802,5.902866400079802,5.902866400079802,5.902866400079802,6.203571999911219,1,0.2978999000042677,None,1,001,2024-12-03_21h44.42.558,solo_project,2024.1.5,None,2024-12-03 21h44.50.761888 +0530,
patterned,3,0,3,3,3,0,1,1,1,6.21944099990651,,6.204021899960935,6.21944099990651,6.21944099990651,6.21944099990651,6.21944099990651,6.21944099990651,6.537583800032735,4,0.3158831999171525,None,1,001,2024-12-03_21h44.42.558,solo_project,2024.1.5,None,2024-12-03 21h44.50.761888 +0530,
patterned,2,0,3,3,3,0,2,2,2,6.552950799930841,,6.537932700011879,6.552950799930841,6.552950799930841,6.552950799930841,6.552950799930841,6.552950799930841,6.8204286999534816,2,0.2587063000537455,None,1,001,2024-12-03_21h44.42.558,solo_project,2024.1.5,None,2024-12-03 21h44.50.761888 +0530,
patterned,4,0,3,3,3,0,3,3,3,6.836148499976844,,6.820841599954292,6.836148499976844,6.836148499976844,6.836148499976844,6.836148499976844,6.836148499976844,7.003671899903566,3,0.1648099001031369,None,1,001,2024-12-03_21h44.42.558,solo_project,2024.1.5,None,2024-12-03 21h44.50.761888 +0530,
random,2,0,3,3,3,,,,,,,,,,,,,,,,,1,001,2024-12-03_21h44.42.558,solo_project,2024.1.5,None,2024-12-03 21h44.50.761888 +0530,
patterned,1,1,0,4,0,0,0,0,0,7.019495999906212,,7.006402600090951,7.019495999906212,7.019495999906212,7.019495999906212,7.019495999906212,7.019495999906212,7.2879280999768525,1,0.2563294998835772,None,1,001,2024-12-03_21h44.42.558,solo_project,2024.1.5,None,2024-12-03 21h44.50.761888 +0530,
patterned,3,1,0,4,0,0,1,1,1,7.303123000077903,,7.288399100070819,7.303123000077903,7.303123000077903,7.303123000077903,7.303123000077903,7.303123000077903,7.5870576000306755,4,0.26987709989771247,None,1,001,2024-12-03_21h44.42.558,solo_project,2024.1.5,None,2024-12-03 21h44.50.761888 +0530,
patterned,2,1,0,4,0,0,2,2,2,7.6029817999806255,,7.587419799994677,7.6029817999806255,7.6029817999806255,7.6029817999806255,7.6029817999806255,7.6029817999806255,7.87063269992359,2,0.25879179988987744,None,1,001,2024-12-03_21h44.42.558,solo_project,2024.1.5,None,2024-12-03 21h44.50.761888 +0530,
patterned,4,1,0,4,0,0,3,3,3,7.886091100051999,,7.870986399939284,7.886091100051999,7.886091100051999,7.886091100051999,7.886091100051999,7.886091100051999,8.070360099896789,3,0.18193239998072386,None,1,001,2024-12-03_21h44.42.558,solo_project,2024.1.5,None,2024-12-03 21h44.50.761888 +0530,
random,3,1,0,4,0,,,,,,,,,,,,,,,,,1,001,2024-12-03_21h44.42.558,solo_project,2024.1.5,None,2024-12-03 21h44.50.761888 +0530,
patterned,1,1,1,5,1,0,0,0,0,8.086015499895439,,8.07349759992212,8.086015499895439,8.086015499895439,8.086015499895439,8.086015499895439,8.086015499895439,8.33745209989138,1,0.24922460014931858,None,1,001,2024-12-03_21h44.42.558,solo_project,2024.1.5,None,2024-12-03 21h44.50.761888 +0530,
patterned,3,1,1,5,1,0,1,1,1,8.35285530006513,,8.337948200060055,8.35285530006513,8.35285530006513,8.35285530006513,8.35285530006513,8.35285530006513,8.620493799913675,4,0.25387080013751984,None,1,001,2024-12-03_21h44.42.558,solo_project,2024.1.5,None,2024-12-03 21h44.50.761888 +0530,
patterned,2,1,1,5,1,0,2,2,2,8.636228000046685,,8.620852400083095,8.636228000046685,8.636228000046685,8.636228000046685,8.636228000046685,8.636228000046685,9.120530700078234,3,0.4678328998852521,None,1,001,2024-12-03_21h44.42.558,solo_project,2024.1.5,None,2024-12-03 21h44.50.761888 +0530,
,,,,,,,,,,9.136352200061083,,9.12090320000425,9.136352200061083,9.136352200061083,9.136352200061083,9.136352200061083,9.136352200061083,,,,,,,,,,,,
