seq,target,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,sq1.started,sq2.started,sq3.started,sq4.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
patterned,1,0,0,0,2,0,0,0,0,0.037636399967595935,,0.02385090000461787,0.037636399967595935,0.037636399967595935,0.037636399967595935,0.037636399967595935,0.037636399967595935,1.1453119999496266,['1'],[1.0893017000053078],[None],413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
patterned,3,0,0,0,2,0,1,1,1,1.1549778999760747,,1.1468598999781534,1.1549778999760747,1.1549778999760747,1.1549778999760747,1.1549778999760747,1.1549778999760747,3.0885948999784887,['4'],[1.9173155999742448],[None],413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
patterned,2,0,0,0,2,0,2,2,2,3.104776300024241,,3.0889814000111073,3.104776300024241,3.104776300024241,3.104776300024241,3.104776300024241,3.104776300024241,4.055566099938005,['2'],[0.9339654999785125],[None],413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
patterned,4,0,0,0,2,0,3,3,3,4.071481599938124,,4.0560070999199525,4.071481599938124,4.071481599938124,4.071481599938124,4.071481599938124,4.071481599938124,4.472124999971129,['3'],[0.38543340004980564],[None],413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
patterned,1,0,0,0,2,1,0,4,0,4.487951699993573,,4.472499699913897,4.487951699993573,4.487951699993573,4.487951699993573,4.487951699993573,4.487951699993573,5.10662939993199,['1'],[0.6160926000447944],[None],413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
patterned,3,0,0,0,2,1,1,5,1,5.1215834999457,,5.107131999917328,5.1215834999457,5.1215834999457,5.1215834999457,5.1215834999457,5.1215834999457,6.356421199976467,['4'],[1.2245023000286892],[None],413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
patterned,2,0,0,0,2,1,2,6,2,6.371693399967626,,6.356879799976014,6.371693399967626,6.371693399967626,6.371693399967626,6.371693399967626,6.371693399967626,7.6058445000089705,['2'],[1.2177613999228925],[None],413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
patterned,4,0,0,0,2,1,3,7,3,7.621427699923515,,7.606221799971536,7.621427699923515,7.621427699923515,7.621427699923515,7.621427699923515,7.621427699923515,8.972735299961641,['3'],[1.349074300029315],[None],413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
random,4,0,0,0,2,,,,,,,,,,,,,,,,,413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
patterned,1,0,1,1,3,0,0,0,0,8.987955400021747,,8.975811899988912,8.987955400021747,8.987955400021747,8.987955400021747,8.987955400021747,8.987955400021747,9.672065999940969,['1'],[0.6753370999358594],[None],413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
