stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.10147699993103743,,0.06269740010611713,0.10147699993103743,0.6959718000143766,0.6959718000143766,0.7145184001419693,1.0000692000612617,3.722034400096163,left,-10.0,1,1,2.898984600091353,100286,001,2024-09-06_10h38.06.346,staircase,2024.1.5,None,2024-09-06 10h38.12.624921 +0530,
1,2,8.0,3.72811820008792,,3.7221047000493854,3.72811820008792,4.229232199955732,4.229232199955732,4.229232199955732,4.528818600112572,4.84729570010677,right,8.0,1,1,0.6148703000508249,100286,001,2024-09-06_10h38.06.346,staircase,2024.1.5,None,2024-09-06 10h38.12.624921 +0530,
2,2,6.0,4.862469400046393,,4.847362499916926,4.862469400046393,5.362865899922326,5.362865899922326,5.362865899922326,5.662591600092128,5.913766799960285,left,-6.0,1,1,0.5386921998579055,100286,001,2024-09-06_10h38.06.346,staircase,2024.1.5,None,2024-09-06 10h38.12.624921 +0530,
3,2,4.0,5.929362500086427,,5.913835300132632,5.929362500086427,6.429399800021201,6.429399800021201,6.429399800021201,6.729432600084692,6.813803000142798,right,4.0,1,1,0.37193759996443987,100286,001,2024-09-06_10h38.06.346,staircase,2024.1.5,None,2024-09-06 10h38.12.624921 +0530,
4,2,2.0,6.829253199975938,,6.813872199971229,6.829253199975938,7.329479299951345,7.329479299951345,7.329479299951345,7.629480500007048,7.746636399999261,left,-2.0,1,1,0.4027691001538187,100286,001,2024-09-06_10h38.06.346,staircase,2024.1.5,None,2024-09-06 10h38.12.624921 +0530,
5,2,1.0,7.762322100112215,,7.746701600030065,7.762322100112215,8.262883600080386,8.262883600080386,8.262883600080386,8.562540400074795,10.013303100131452,left,-1.0,1,1,1.7471587001346052,100286,001,2024-09-06_10h38.06.346,staircase,2024.1.5,None,2024-09-06 10h38.12.624921 +0530,
6,2,1.0,10.02913839998655,,10.01337209995836,10.02913839998655,10.529115699930117,10.529115699930117,10.529115699930117,10.829424299998209,11.313287100056186,right,1.0,1,1,0.7682990999892354,100286,001,2024-09-06_10h38.06.346,staircase,2024.1.5,None,2024-09-06 10h38.12.624921 +0530,
7,2,1.0,11.329183200141415,,11.313356600003317,11.329183200141415,11.812616399955004,11.812616399955004,11.829283500090241,12.112258600071073,12.66332109994255,right,1.0,1,1,0.8352606000844389,100286,001,2024-09-06_10h38.06.346,staircase,2024.1.5,None,2024-09-06 10h38.12.624921 +0530,
8,1,1.0,12.679169200127944,,12.663386899977922,12.679169200127944,13.179044499993324,13.179044499993324,13.179044499993324,13.478941099951044,13.596513299969956,right,1.0,0,0,0.40318290004506707,100286,001,2024-09-06_10h38.06.346,staircase,2024.1.5,None,2024-09-06 10h38.12.624921 +0530,
9,1,2.0,13.61222489993088,,13.59658020013012,13.61222489993088,14.096066900063306,14.096066900063306,14.11235549999401,14.395873199915513,14.813776700058952,right,2.0,1,1,0.7034908002242446,100286,001,2024-09-06_10h38.06.346,staircase,2024.1.5,None,2024-09-06 10h38.12.624921 +0530,
10,1,2.0,14.829104300122708,,14.813841999974102,14.829104300122708,15.312347800005227,15.312347800005227,15.329288400011137,15.612980599980801,15.88009350001812,left,-2.0,1,1,0.5538503001444042,100286,001,2024-09-06_10h38.06.346,staircase,2024.1.5,None,2024-09-06 10h38.12.624921 +0530,
11,1,2.0,15.896178100025281,,15.880157300038263,15.896178100025281,16.3800206000451,16.3800206000451,16.396124799968675,16.679452100070193,17.27987359999679,left,-2.0,1,1,0.8910636000800878,100286,001,2024-09-06_10h38.06.346,staircase,2024.1.5,None,2024-09-06 10h38.12.624921 +0530,
12,1,1.0,17.2957057999447,,17.279941899934784,17.2957057999447,17.77922790008597,17.77922790008597,17.796248300001025,18.078920900123194,18.41395640000701,left,-1.0,1,1,0.6187869000714272,100286,001,2024-09-06_10h38.06.346,staircase,2024.1.5,None,2024-09-06 10h38.12.624921 +0530,
13,1,1.0,18.429231900023296,,18.414021800039336,18.429231900023296,18.929275300120935,18.929275300120935,18.929275300120935,19.228889600140974,20.11332969996147,left,-1.0,1,1,1.1773208000231534,100286,001,2024-09-06_10h38.06.346,staircase,2024.1.5,None,2024-09-06 10h38.12.624921 +0530,
14,1,1.0,20.129406600026414,,20.113395099993795,20.129406600026414,20.629442499950528,20.629442499950528,20.629442499950528,20.92920250003226,21.313088699942455,right,1.0,1,1,0.6773129999637604,100286,001,2024-09-06_10h38.06.346,staircase,2024.1.5,None,2024-09-06 10h38.12.624921 +0530,
15,1,1.0,21.329582300037146,,21.313158000120893,21.329582300037146,21.812291499925777,21.812291499925777,21.829762400127947,22.112559899920598,22.696637300075963,right,1.0,1,1,0.8777648000977933,100286,001,2024-09-06_10h38.06.346,staircase,2024.1.5,None,2024-09-06 10h38.12.624921 +0530,
16,1,1.0,22.712790500139818,,22.696747000096366,22.712790500139818,23.195621700026095,23.195621700026095,23.21339079993777,23.496539999963716,24.130852000089362,left,-1.0,1,1,0.9303439999930561,100286,001,2024-09-06_10h38.06.346,staircase,2024.1.5,None,2024-09-06 10h38.12.624921 +0530,
17,1,1.0,24.146470400039107,,24.130927100079134,24.146470400039107,24.646085700020194,24.646085700020194,24.646085700020194,24.945451100124046,25.279829200124368,left,-1.0,1,1,0.6282281000167131,100286,001,2024-09-06_10h38.06.346,staircase,2024.1.5,None,2024-09-06 10h38.12.624921 +0530,
18,1,1.0,25.29620059998706,,25.279895500047132,25.29620059998706,25.779322300106287,25.779322300106287,25.796266000019386,26.079197600018233,26.81342580006458,left,-1.0,1,1,1.0247059999965131,100286,001,2024-09-06_10h38.06.346,staircase,2024.1.5,None,2024-09-06 10h38.12.624921 +0530,
19,1,1.0,26.828884500078857,,26.813491800101474,26.828884500078857,27.31245859991759,27.31245859991759,27.33023350010626,27.612244199961424,27.96373590012081,right,1.0,1,1,0.6484283998142928,100286,001,2024-09-06_10h38.06.346,staircase,2024.1.5,None,2024-09-06 10h38.12.624921 +0530,
20,1,1.0,27.97906309994869,,27.963800200028345,27.97906309994869,28.47915649996139,28.47915649996139,28.47915649996139,28.77883780002594,31.14649310009554,left,-1.0,1,1,2.652997799916193,100286,001,2024-09-06_10h38.06.346,staircase,2024.1.5,None,2024-09-06 10h38.12.624921 +0530,
21,1,1.0,31.162568599916995,,31.146561299916357,31.162568599916995,31.645881900098175,31.645881900098175,31.662445300025865,31.94582140003331,32.29680190002546,left,-1.0,1,1,0.6360005000606179,100286,001,2024-09-06_10h38.06.346,staircase,2024.1.5,None,2024-09-06 10h38.12.624921 +0530,
22,1,1.0,32.312483499990776,,32.2968679999467,32.312483499990776,32.81244800006971,32.81244800006971,32.81244800006971,33.11278979992494,33.46335049998015,left,-1.0,1,1,0.647336200112477,100286,001,2024-09-06_10h38.06.346,staircase,2024.1.5,None,2024-09-06 10h38.12.624921 +0530,
