trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,fixation.stopped,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.08145909989252687,,0.022562299855053425,5,0.08145909989252687,0.08145909989252687,0.05222159996628761,1.13044109987095,1.6743725999258459,[0.23166666666666666],[0.26666666666666666],[1],[0],[0],[1.6209827000275254],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
1,0,1,0,1.7277644998393953,,1.681204800028354,10,1.7277644998393953,1.7277644998393953,0.03309719962999225,2.731389299966395,3.1493844999931753,[-0.41333333333333333],[-0.34833333333333333],[1],[0],[0],[1.4354922999627888],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
2,0,2,0,3.2037518001161516,,3.1540740998461843,10,3.2037518001161516,3.2037518001161516,0.03540239995345473,4.230163699947298,4.333693199791014,[-0.15],[0.21333333333333335],[1],[0],[0],[1.1444632997736335],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
3,0,3,0,4.382036699913442,,4.34158039977774,5,4.382036699913442,4.382036699913442,0.03065000008791685,5.382336599752307,5.500171999912709,[0.32666666666666666],[0.18166666666666667],[1],[0],[0],[1.1289523001760244],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
4,0,4,0,5.5516181997954845,,5.50794170005247,5,5.5516181997954845,5.5516181997954845,0.028789000120013952,6.582535400055349,7.434934699907899,[-0.45166666666666666],[-0.25166666666666665],[1],[0],[0],[1.8992352001369],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
5,0,5,0,7.497483800165355,,7.442615299951285,10,7.497483800165355,7.497483800165355,0.04218949982896447,8.497781199868768,9.032381100114435,[-0.07833333333333334],[0.3466666666666667],[1],[0],[0],[1.5487903002649546],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
6,0,6,0,9.063340900000185,,9.036903100088239,5,9.063340900000185,9.063340900000185,0.01740040024742484,10.098675000015646,10.60017770016566,[0.2633333333333333],[0.45],[1],[0],[0],[1.546251299791038],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
7,0,7,0,10.669569700025022,,10.607842199970037,10,10.669569700025022,10.669569700025022,0.04908519983291626,11.713554199784994,11.748530599754304,[-0.02],[0.21166666666666667],[1],[0],[0],[1.0926353000104427],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
8,0,8,0,11.818566599860787,,11.75663929991424,10,11.818566599860787,11.818566599860787,0.04725169995799661,12.846728699747473,13.282230999786407,[0.35333333333333333],[0.18],[1],[0],[0],[1.4796297000721097],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
9,0,9,0,13.338019600138068,,13.28680090000853,10,13.338019600138068,13.338019600138068,0.03789070015773177,14.364321900065988,14.649083099793643,[-0.03666666666666667],[0.3516666666666667],[1],[0],[0],[1.3248895001597703],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
10,0,10,0,14.681495599914342,,14.653640899807215,5,14.681495599914342,14.681495599914342,0.01880620000883937,15.681007400155067,16.29974769987166,[0.056666666666666664],[-0.3016666666666667],[1],[0],[0],[1.6278653000481427],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
11,0,11,0,16.352901299949735,,16.304314999841154,10,16.352901299949735,16.352901299949735,0.034207799937576056,17.364999799989164,17.46631250018254,[0.16666666666666666],[0.17666666666666667],[1],[0],[0],[1.1281870999373496],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
12,0,12,0,17.537163800094277,,17.47395779984072,10,17.537163800094277,17.537163800094277,0.050486800260841846,18.564470999874175,18.765827999915928,[-0.14166666666666666],[-0.02],[1],[0],[0],[1.242363499943167],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
13,0,13,0,18.813463300000876,,18.773908999748528,5,18.813463300000876,18.813463300000876,0.03070100024342537,,19.783545199781656,[-0.19],[-0.16166666666666665],[1],[0],[0],[0.9802918001078069],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
14,0,14,0,19.850678800139576,,19.79118510009721,10,19.850678800139576,19.850678800139576,0.047012099996209145,20.86453490005806,21.499486499931663,[0.33166666666666667],[0.3883333333333333],[1],[0],[0],[1.6623614998534322],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
15,0,15,0,21.567940399982035,,21.50737310014665,10,21.567940399982035,21.567940399982035,0.047619800083339214,22.597292399965227,22.932024899870157,[-0.43833333333333335],[0.32166666666666666],[1],[0],[0],[1.378094700165093],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
16,0,16,0,22.979274599812925,,22.939749999903142,5,22.979274599812925,22.979274599812925,0.028520299587398767,23.981215599924326,24.166623800061643,[-0.105],[-0.205],[1],[0],[0],[1.1993635999970138],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
17,0,17,0,24.23213359992951,,24.174358900170773,10,24.23213359992951,24.23213359992951,0.04536049999296665,25.23108270019293,25.682255699764937,[-0.043333333333333335],[-0.13833333333333334],[1],[0],[0],[1.4637764999642968],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
18,0,18,0,25.738407200202346,,25.687063599936664,10,25.738407200202346,25.738407200202346,0.03707030043005943,26.78036649990827,26.815253499895334,[-0.09166666666666666],[0.23666666666666666],[1],[0],[0],[1.091584200039506],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
19,0,19,0,26.877406700048596,,26.82294340012595,10,26.877406700048596,26.877406700048596,0.041873599868267775,27.896855200175196,28.36530329985544,[-0.14],[-0.48333333333333334],[1],[0],[0],[1.5015652002766728],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
