trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,Fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.06335899996338412,,0.00570859998697415,10,0.06335899996338412,0.06335899996338412,0.04442869999911636,1.7564733999897726,[0.15625],[-0.06640625],[1],[0],[0],[1.7115235999808647],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
1,0,1,0,1.8256008999887854,,1.7663864999776706,10,1.8256008999887854,1.8256008999887854,0.047524900001008064,4.23724459996447,[0.3098958333333333],[0.1796875],[1],[0],[0],[2.4230410999734886],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
2,0,2,0,4.3293234999873675,,4.245241699973121,10,4.3293234999873675,4.3293234999873675,0.05711739999242127,5.708334799972363,[0.2955729166666667],[0.4283854166666667],[1],[0],[0],[1.4069510999834165],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
3,0,3,0,5.7852334000053816,,5.716414899972733,10,5.7852334000053816,5.7852334000053816,0.046476999996230006,10.92978409997886,[0.16536458333333334],[-0.4283854166666667],[1],[0],[0],[5.168190100055654],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
4,0,4,0,11.004113500006497,,10.935349099978339,10,11.004113500006497,11.004113500006497,0.04974470002343878,12.684754199988674,[0.03515625],[-0.4739583333333333],[1],[0],[0],[1.7005792999989353],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
5,0,5,0,12.746528299991041,,12.687745500006713,10,12.746528299991041,12.746528299991041,0.037049499980639666,14.252116099989507,[0.21223958333333334],[0.09505208333333333],[1],[0],[0],[1.5272590999957174],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
6,0,6,0,14.296129399968777,,14.259358999959659,5,14.296129399968777,14.296129399968777,0.028615099960006773,16.8517448999919,[0.4583333333333333],[-0.3828125],[1],[0],[0],[2.564629899978172],[],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
7,0,7,0,16.935244799999055,,16.856783900002483,10,16.935244799999055,16.935244799999055,0.056067700032144785,19.313621199980844,[0.036458333333333336],[0.13671875],[1],[0],[0],[2.401196599996183],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
8,0,8,0,19.37995360000059,,19.320332399976905,10,19.37995360000059,19.37995360000059,0.041084399970714,20.953514499997254,[0.06901041666666667],[0.12890625],[1],[0],[0],[1.5928889000206254],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
9,0,9,0,21.006530999962706,,20.961569699982647,5,21.006530999962706,21.006530999962706,0.031230000022333115,22.536030199960805,[0.08723958333333333],[0.17057291666666666],[1],[0],[0],[1.544188000028953],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
10,0,10,0,22.588012799969874,,22.543512300006114,5,22.588012799969874,22.588012799969874,0.029925999988336116,24.28598049998982,[-0.17447916666666666],[-0.3802083333333333],[1],[0],[0],[1.7134335999726318],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
11,0,11,0,24.37949259998277,,24.29298829997424,10,24.37949259998277,24.37949259998277,0.06507279997458681,26.463716099970043,[0.15104166666666666],[-0.22135416666666666],[1],[0],[0],[2.106771899969317],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
12,0,12,0,26.50879150000401,,26.467667899967637,5,26.50879150000401,26.50879150000401,0.02726310002617538,28.18751199997496,[-0.13151041666666666],[-0.37109375],[1],[0],[0],[1.6931363000185229],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
13,0,13,0,28.254343000007793,,28.1949847000069,10,28.254343000007793,28.254343000007793,0.04494490002980456,30.384723700000905,[0.47265625],[0.19010416666666666],[1],[0],[0],[2.1455160999903455],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
14,0,14,0,30.465103599999566,,30.392057799967006,10,30.465103599999566,30.465103599999566,0.0597268000128679,33.4560586999869,[-0.40625],[0.3268229166666667],[1],[0],[0],[3.005568200023845],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
