study_word,test_word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Study_Phase.started,StudyText.started,Studyslider.started,Study_Phase.stopped,Studyslider.response,Studyslider.rt,Test_Phase.started,TestText.started,test_textbox.started,submit.started,testmouse.started,Test_Phase.stopped,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,TestText.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
chart,,0,0,0,6,,,,,0.07225239998660982,,0.03957969998009503,0.07225239998660982,0.07225239998660982,1.8727530999458395,1.011111111111111,1.8102946999715641,,,,,,,,,,,,,,,,111,001,2024-10-25_11h29.24.369,untitled,2024.1.5,None,2024-10-25 11h29.33.707577 +0530,
cruise,,0,1,1,11,,,,,1.8923851999570616,,1.8740262999781407,1.8923851999570616,1.8923851999570616,2.879389799956698,1.9333333333333333,0.9823695000377484,,,,,,,,,,,,,,,,111,001,2024-10-25_11h29.24.369,untitled,2024.1.5,None,2024-10-25 11h29.33.707577 +0530,
board,,0,2,2,4,,,,,2.8980772999930196,,2.8796267999568954,2.8980772999930196,2.8980772999930196,3.890391599969007,1,0.989720200013835,,,,,,,,,,,,,,,,111,001,2024-10-25_11h29.24.369,untitled,2024.1.5,None,2024-10-25 11h29.33.707577 +0530,
book,,0,3,3,0,,,,,3.9077351999585517,,3.890622099977918,3.9077351999585517,3.9077351999585517,4.811498199997004,2.0037037037037035,0.8987239999696612,,,,,,,,,,,,,,,,111,001,2024-10-25_11h29.24.369,untitled,2024.1.5,None,2024-10-25 11h29.33.707577 +0530,
mouse,,0,4,4,8,,,,,4.829848699970171,,4.811737899959553,4.829848699970171,4.829848699970171,6.199788099969737,1.0666666666666667,1.3673629999975674,,,,,,,,,,,,,,,,111,001,2024-10-25_11h29.24.369,untitled,2024.1.5,None,2024-10-25 11h29.33.707577 +0530,
police,,0,5,5,12,,,,,6.220040799991693,,6.200024199963082,6.220040799991693,6.220040799991693,6.989679499994963,1.1037037037037036,0.7678407999919727,,,,,,,,,,,,,,,,111,001,2024-10-25_11h29.24.369,untitled,2024.1.5,None,2024-10-25 11h29.33.707577 +0530,
pastry,,0,6,6,9,,,,,7.010110899980646,,6.989939599996433,7.010110899980646,7.010110899980646,7.680203099967912,1.1037037037037036,0.6670641000382602,,,,,,,,,,,,,,,,111,001,2024-10-25_11h29.24.369,untitled,2024.1.5,None,2024-10-25 11h29.33.707577 +0530,
case,,0,7,7,10,,,,,7.698247199994512,,7.680436599999666,7.698247199994512,7.698247199994512,8.334472699963953,1.1037037037037036,0.6333728999597952,,,,,,,,,,,,,,,,111,001,2024-10-25_11h29.24.369,untitled,2024.1.5,None,2024-10-25 11h29.33.707577 +0530,
marble,,0,8,8,3,,,,,8.351603099959902,,8.334711099974811,8.351603099959902,8.351603099959902,9.504423299978953,1.7481481481481482,1.1485363999963738,,,,,,,,,,,,,,,,111,001,2024-10-25_11h29.24.369,untitled,2024.1.5,None,2024-10-25 11h29.33.707577 +0530,
T-shirt,,0,9,9,7,,,,,9.523462599958293,,9.50465149997035,9.523462599958293,9.523462599958293,10.959845599951223,1.0333333333333334,1.4327852000133134,,,,,,,,,,,,,,,,111,001,2024-10-25_11h29.24.369,untitled,2024.1.5,None,2024-10-25 11h29.33.707577 +0530,
phone,,0,10,10,2,,,,,10.979484499956015,,10.960075699957088,10.979484499956015,10.979484499956015,12.04909249994671,1.9,1.0679021999821998,,,,,,,,,,,,,,,,111,001,2024-10-25_11h29.24.369,untitled,2024.1.5,None,2024-10-25 11h29.33.707577 +0530,
laptop,,0,11,11,5,,,,,12.068055199983064,,12.049328699999023,12.068055199983064,12.068055199983064,13.055160799995065,1.0740740740740742,0.9837849999894388,,,,,,,,,,,,,,,,111,001,2024-10-25_11h29.24.369,untitled,2024.1.5,None,2024-10-25 11h29.33.707577 +0530,
keys,,0,12,12,13,,,,,13.073072699946351,,13.055393599963281,13.073072699946351,13.073072699946351,14.092951799975708,1.8888888888888888,1.0159370000474155,,,,,,,,,,,,,,,,111,001,2024-10-25_11h29.24.369,untitled,2024.1.5,None,2024-10-25 11h29.33.707577 +0530,
poster,,0,13,13,14,,,,,14.110333499964327,,14.093190899991896,14.110333499964327,14.110333499964327,14.96364899998298,1.2703703703703704,0.8483880999847315,,,,,,,,,,,,,,,,111,001,2024-10-25_11h29.24.369,untitled,2024.1.5,None,2024-10-25 11h29.33.707577 +0530,
cushion,,0,14,14,1,,,,,14.98223699996015,,14.96387879998656,14.98223699996015,14.98223699996015,15.636287799978163,1.2703703703703704,0.6506327000097372,,,,,,,,,,,,,,,,111,001,2024-10-25_11h29.24.369,untitled,2024.1.5,None,2024-10-25 11h29.33.707577 +0530,
,c_m_ra,,,,,0,0,0,19,15.651692699990235,,,,,,,,15.639027099998202,15.651692699990235,15.651692699990235,15.651692699990235,0.0053601000108756125,23.9114076999831,camera,[-0.05648148148148148],[-0.29814814814814816],[1],[0],[0],[8.26913390000118],['submit'],,111,001,2024-10-25_11h29.24.369,untitled,2024.1.5,None,2024-10-25 11h29.33.707577 +0530,
,c_s_,,,,,0,1,1,10,23.925467999943066,,,,,,,,23.912249699991662,23.925467999943066,23.925467999943066,23.925467999943066,0.0017491000471636653,27.9109582999954,case,[0.023148148148148147],[-0.3111111111111111],[1],[0],[0],[3.996658699994441],['submit'],,111,001,2024-10-25_11h29.24.369,untitled,2024.1.5,None,2024-10-25 11h29.33.707577 +0530,
,_ha_t,,,,,0,2,2,6,27.92583589995047,,,,,,,,27.91146039997693,27.92583589995047,27.92583589995047,27.92583589995047,0.0017421000520698726,31.838013499975204,chart,[0.0712962962962963],[-0.30462962962962964],[1],[0],[0],[3.9243984000058845],['submit'],,111,001,2024-10-25_11h29.24.369,untitled,2024.1.5,None,2024-10-25 11h29.33.707577 +0530,
