study_word,test_word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Study_Phase.started,StudyText.started,Studyslider.started,Study_Phase.stopped,Studyslider.response,Studyslider.rt,Test_Phase.started,TestText.started,test_textbox.started,submit.started,testmouse.started,TestText.stopped,Test_Phase.stopped,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
T-shirt,,0,0,0,7,,,,,0.06307789997663349,,0.03108679997967556,0.06307789997663349,0.06307789997663349,2.7211349999997765,1.0,2.666685000003781,,,,,,,,,,,,,,,,112,001,2024-10-25_11h41.17.760,untitled,2024.1.5,None,2024-10-25 11h41.26.895915 +0530,
pastry,,0,1,1,9,,,,,2.74375239998335,,2.7225815000128932,2.74375239998335,2.74375239998335,4.482939200010151,3.0592592592592593,1.7350774999940768,,,,,,,,,,,,,,,,112,001,2024-10-25_11h41.17.760,untitled,2024.1.5,None,2024-10-25 11h41.26.895915 +0530,
book,,0,2,2,0,,,,,4.5096177000086755,,4.483177699963562,4.5096177000086755,4.5096177000086755,7.257152399979532,2.0074074074074075,2.752004800015129,,,,,,,,,,,,,,,,112,001,2024-10-25_11h41.17.760,untitled,2024.1.5,None,2024-10-25 11h41.26.895915 +0530,
laptop,,0,3,3,5,,,,,7.284414099995047,,7.257390399987344,7.284414099995047,7.284414099995047,9.205453199974727,1,1.9253178999642842,,,,,,,,,,,,,,,,112,001,2024-10-25_11h41.17.760,untitled,2024.1.5,None,2024-10-25 11h41.26.895915 +0530,
keys,,0,4,4,13,,,,,9.24281590001192,,9.205691799987108,9.24281590001192,9.24281590001192,10.857725500012748,2.4962962962962965,1.6141070000012405,,,,,,,,,,,,,,,,112,001,2024-10-25_11h41.17.760,untitled,2024.1.5,None,2024-10-25 11h41.26.895915 +0530,
police,,0,5,5,12,,,,,10.884285899985116,,10.857959799992386,10.884285899985116,10.884285899985116,12.872152699972503,1,1.9916432999889366,,,,,,,,,,,,,,,,112,001,2024-10-25_11h41.17.760,untitled,2024.1.5,None,2024-10-25 11h41.26.895915 +0530,
phone,,0,6,6,2,,,,,12.891561999975238,,12.872401100001298,12.891561999975238,12.891561999975238,14.827911400003359,1.9555555555555555,1.9336088999989443,,,,,,,,,,,,,,,,112,001,2024-10-25_11h41.17.760,untitled,2024.1.5,None,2024-10-25 11h41.26.895915 +0530,
cruise,,0,7,7,11,,,,,14.845669900008943,,14.82815469999332,14.845669900008943,14.845669900008943,17.15323359996546,4.014814814814815,2.303893500007689,,,,,,,,,,,,,,,,112,001,2024-10-25_11h41.17.760,untitled,2024.1.5,None,2024-10-25 11h41.26.895915 +0530,
case,,0,8,8,10,,,,,17.171742699982133,,17.153468000004068,17.171742699982133,17.171742699982133,18.69157299998915,2.511111111111111,1.5164159999694675,,,,,,,,,,,,,,,,112,001,2024-10-25_11h41.17.760,untitled,2024.1.5,None,2024-10-25 11h41.26.895915 +0530,
cushion,,0,9,9,1,,,,,18.709744699997827,,18.691821400017943,18.709744699997827,18.709744699997827,21.862893100013025,4.707407407407407,3.150806999998167,,,,,,,,,,,,,,,,112,001,2024-10-25_11h41.17.760,untitled,2024.1.5,None,2024-10-25 11h41.26.895915 +0530,
