study_word,test_word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Study_Phase.started,StudyText.started,Studyslider.started,Study_Phase.stopped,Studyslider.response,Studyslider.rt,StudyText.stopped,Test_Phase.started,TestText.started,test_textbox.started,submit.started,testmouse.started,TestText.stopped,Test_Phase.stopped,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
cruise,,0,0,0,11,,,,,0.07428340002661571,,0.04193100001430139,0.07428340002661571,0.07428340002661571,7.9425639000255615,1.0925925925925926,7.879930899944156,,,,,,,,,,,,,,,,,113,001,2024-10-25_11h46.08.436,untitled,2024.1.5,None,2024-10-25 11h46.25.649716 +0530,
board,,0,1,1,4,,,,,7.9724295000196435,,7.944103999994695,7.9724295000196435,7.9724295000196435,8.708840999985114,1.0925925925925926,0.7412296999827959,,,,,,,,,,,,,,,,,113,001,2024-10-25_11h46.08.436,untitled,2024.1.5,None,2024-10-25 11h46.25.649716 +0530,
pastry,,0,2,2,9,,,,,8.739178500021808,,8.709081800014246,8.739178500021808,8.739178500021808,9.725743999995757,1.6814814814814816,0.9925185000174679,,,,,,,,,,,,,,,,,113,001,2024-10-25_11h46.08.436,untitled,2024.1.5,None,2024-10-25 11h46.25.649716 +0530,
police,,0,3,3,12,,,,,9.75573400000576,,9.725986999983434,9.75573400000576,9.75573400000576,11.175532900029793,2.037037037037037,1.4291672999970615,,,,,,,,,,,,,,,,,113,001,2024-10-25_11h46.08.436,untitled,2024.1.5,None,2024-10-25 11h46.25.649716 +0530,
marble,,0,4,4,3,,,,,11.205605000024661,,11.175793899979908,11.205605000024661,11.205605000024661,17.242769800010137,1.2333333333333334,6.044573199993465,,,,,,,,,,,,,,,,,113,001,2024-10-25_11h46.08.436,untitled,2024.1.5,None,2024-10-25 11h46.25.649716 +0530,
poster,,0,5,5,14,,,,,17.27250560000539,,17.2430117999902,17.27250560000539,17.27250560000539,18.40893929998856,1.9851851851851852,1.1442813000176102,,,,,,,,,,,,,,,,,113,001,2024-10-25_11h46.08.436,untitled,2024.1.5,None,2024-10-25 11h46.25.649716 +0530,
laptop,,0,6,6,5,,,,,18.43894329998875,,18.409175599983428,18.43894329998875,18.43894329998875,22.542474000016227,1.9851851851851852,4.1120629999786615,,,,,,,,,,,,,,,,,113,001,2024-10-25_11h46.08.436,untitled,2024.1.5,None,2024-10-25 11h46.25.649716 +0530,
phone,,0,7,7,2,,,,,22.57218560000183,,22.54272869997658,22.57218560000183,22.57218560000183,23.692407199996524,1,1.1266863999771886,,,,,,,,,,,,,,,,,113,001,2024-10-25_11h46.08.436,untitled,2024.1.5,None,2024-10-25 11h46.25.649716 +0530,
keys,,0,8,8,13,,,,,23.722251200000755,,23.692643999995198,23.722251200000755,23.722251200000755,24.792187099985313,1.9851851851851852,1.0792782999924384,,,,,,,,,,,,,,,,,113,001,2024-10-25_11h46.08.436,untitled,2024.1.5,None,2024-10-25 11h46.25.649716 +0530,
cushion,,0,9,9,1,,,,,24.822411599976476,,24.79242760001216,24.822411599976476,24.822411599976476,25.69270700000925,1.0629629629629629,0.8785370000405237,,,,,,,,,,,,,,,,,113,001,2024-10-25_11h46.08.436,untitled,2024.1.5,None,2024-10-25 11h46.25.649716 +0530,
